Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
ISRAEL,Pound,ILP,376,,1978 to 1981,🇮🇱
ISRAEL,Old Shekel,ILR,376,,1989 to 1990,🇮🇱
ISRAEL,New Israeli Sheqel,ILS,376,2,,🇮🇱
ITALY,Euro,EUR,978,2,,🇪🇺
ITALY,Italian Lira,ITL,380,,2002-03,🇮🇹
JAMAICA,Jamaican Dollar,JMD,388,2,,🇯🇲
JAPAN,Yen,JPY,392,0,,🇯🇵
JERSEY,Pound Sterling,GBP,826,2,,🇬🇧
JORDAN,Jordanian Dinar,JOD,400,3,,🇯🇴
KAZAKHSTAN,Tenge,KZT,398,2,,🇰🇿
KAZAKHSTAN,Russian Ruble,RUR,810,,1994-05,🇷🇺
KENYA,Kenyan Shilling,KES,404,2,,🇰🇪
KIRIBATI,Australian Dollar,AUD,36,2,,🇦🇺
KUWAIT,Kuwaiti Dinar,KWD,414,3,,🇰🇼
KYRGYZSTAN,Som,KGS,417,2,,🇰🇬
KYRGYZSTAN,Russian Ruble,RUR,810,,1993-01,🇷🇺
LAO,Pathet Lao Kip,LAJ,418,,1979-12,🇱🇦
LAOS,Lao Kip,LAK,418,2,,🇱🇦
LATVIA,Euro,EUR,978,2,,🇪🇺
LATVIA,Latvian Lats,LVL,428,,2014-01,🇱🇻
LATVIA,Latvian Ruble,LVR,428,,1994-12,🇱🇻
LEBANON,Lebanese Pound,LBP,422,2,,🇱🇧
LESOTHO,Loti,LSL,426,2,,🇱🇸
LESOTHO,Loti,LSM,426,,1985-05,🇱🇸
LESOTHO,Financial Rand,ZAL,991,,1995-03,🇿🇦
LESOTHO,Rand,ZAR,710,2,,🇿🇦
LIBERIA,Liberian Dollar,LRD,430,2,,🇱🇷
LIBYA,Libyan Dinar,LYD,434,3,,🇱🇾
LIECHTENSTEIN,Swiss Franc,CHF,756,2,,🇨🇭
LITHUANIA,Euro,EUR,978,2,,🇪🇺
LITHUANIA,Lithuanian Litas,LTL,440,,2014-12,🇱🇹
LITHUANIA,Talonas,LTT,440,,1993-07,🇱🇹
LUXEMBOURG,Euro,EUR,978,2,,🇪🇺
LUXEMBOURG,Luxembourg Convertible Franc,LUC,989,,1990-03,🇱🇺
LUXEMBOURG,Luxembourg Franc,LUF,442,,2002-03,🇱🇺
LUXEMBOURG,Luxembourg Financial Franc,LUL,988,,1990-03,🇱🇺
MACAO,Pataca,MOP,446,2,,🇲🇴
MADAGASCAR,Malagasy Ariary,MGA,969,2,,🇲🇬
MADAGASCAR,Malagasy Franc,MGF,450,,2004-12,🇲🇬
MALAWI,Malawi Kwacha,MWK,454,2,,🇲🇼
MALAWI,Kwacha,MWK,454,,2016-02,🇲🇼
MALAYSIA,Malaysian Ringgit,MYR,458,2,,🇲🇾
MALDIVES,Maldive Rupee,MVQ,462,,1989-12,🇲🇻
MALDIVES,Rufiyaa,MVR,462,2,,🇲🇻
MALI,Mali Franc,MLF,466,,1984-11,🇲🇱
MALI,CFA Franc BCEAO,XOF,952,0,,🇲🇱
MALTA,Euro,EUR,978,2,,🇪🇺
MALTA,Maltese Lira,MTL,470,,2008-01,🇲🇹
MALTA,Maltese Pound,MTP,470,,1983-06,🇲🇹
MARSHALL ISLANDS,US Dollar,USD,840,2,,🇺🇸
MARTINIQUE,Euro,EUR,978,2,,🇪🇺
MARTINIQUE,French Franc,FRF,250,,2002-03,🇫🇷
MAURITANIA,Ouguiya,MRO,478,,2017-12,🇲🇷
MAURITANIA,Ouguiya,MRU,929,2,,🇲🇷
MAURITIUS,Mauritius Rupee,MUR,480,2,,🇲🇺
MAYOTTE,Euro,EUR,978,2,,🇪🇺
MAYOTTE,French Franc,FRF,250,,2002-03,🇫🇷
MEXICO,Mexican Peso,MXN,484,2,,🇲🇽
MEXICO,Mexican Peso,MXP,484,,1993-01,🇲🇽
MEXICO,Mexican Unidad de Inversion (UDI),MXV,979,2,,🇲🇽
